"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-03-28T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",169.36,"provisorisch"
"2026-03-28T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.06,"provisorisch"
"2026-03-28T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.78,"provisorisch"
"2026-03-28T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.68,"provisorisch"
"2026-03-29T00:00+0100","Zch_Heubeeribüel","T","d1","°C",2.02,"provisorisch"
"2026-03-29T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",4.17,"provisorisch"
"2026-03-29T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",954.0,"provisorisch"
"2026-03-29T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",103.85,"provisorisch"
"2026-03-29T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",4.08,"provisorisch"
"2026-03-29T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.21,"provisorisch"
"2026-03-29T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",974.83,"provisorisch"
"2026-03-29T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",252.08,"provisorisch"
"2026-03-29T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.6,"provisorisch"
"2026-03-29T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.84,"provisorisch"
"2026-03-29T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.37,"provisorisch"
"2026-03-29T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",278.88,"provisorisch"
"2026-03-29T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",71.47,"provisorisch"
"2026-03-29T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.52,"provisorisch"
"2026-03-29T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.52,"provisorisch"
"2026-03-29T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.69,"provisorisch"
"2026-03-30T00:00+0100","Zch_Heubeeribüel","T","d1","°C",2.54,"provisorisch"
"2026-03-30T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",5.16,"provisorisch"
"2026-03-30T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",949.29,"provisorisch"
"2026-03-30T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",NA,"provisorisch"
"2026-03-30T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",NA,"provisorisch"
"2026-03-30T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",NA,"provisorisch"
"2026-03-30T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",NA,"provisorisch"
"2026-03-30T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",502.7,"provisorisch"
"2026-03-30T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.81,"provisorisch"
"2026-03-30T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.36,"provisorisch"
