"Datum","Geschaeft","Einheit_Code","Einheit_Name","Einheit_BFS","Einheit_BFSSub","Einheit_StimmenTotal","Partei","Partei_Kandstimmen","Partei_Zusatzstimmen","Partei_ParteistimmenTotal"
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"GLP",5509,251,5760
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"FDP",3842,29,3871
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"Mitte",2655,118,2773
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"EVP",1399,23,1422
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"FGA/AL/PDA",120,14,134
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"EDU",581,0,581
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"Übrige",1492,30,1522
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"SD",46,0,46
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"SVP",5093,79,5172
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"SP",3080,19,3099
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"GP",2897,31,2928
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"GLP",1987,95,2082
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"FDP",1521,14,1535
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"Mitte",791,26,817
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"EVP",991,4,995
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"FGA/AL/PDA",100,0,100
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"EDU",653,1,654
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"Übrige",583,64,647
2023-10-22,"Nationalratswahl 2023","ZH012","Rifferswil",12,12,18033,"SD",4,0,4
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"SVP",14116,217,14333
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"SP",6894,93,6987
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"GP",3078,49,3127
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"GLP",6148,298,6446
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"FDP",6462,139,6601
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"Mitte",4392,186,4578
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"EVP",600,30,630
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"FGA/AL/PDA",196,0,196
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"EDU",203,0,203
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"Übrige",1287,156,1443
2023-10-22,"Nationalratswahl 2023","ZH013","Stallikon",13,13,44604,"SD",58,2,60
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"SVP",18960,496,19456
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"SP",8803,255,9058
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"GP",3593,119,3712
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"GLP",10005,490,10495
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"FDP",13439,207,13646
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"Mitte",5727,372,6099
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"EVP",1234,0,1234
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"FGA/AL/PDA",152,0,152
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"EDU",558,26,584
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"Übrige",1593,55,1648
2023-10-22,"Nationalratswahl 2023","ZH014","Wettswil am Albis",14,14,66100,"SD",16,0,16
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"SVP",5130,175,5305
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"SP",1293,30,1323
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"GP",821,16,837
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"GLP",890,42,932
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"FDP",969,36,1005
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"Mitte",730,0,730
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"EVP",173,0,173
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"FGA/AL/PDA",24,0,24
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"EDU",297,16,313
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"Übrige",145,0,145
2023-10-22,"Nationalratswahl 2023","ZH022","Benken",22,22,10801,"SD",14,0,14
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"SVP",4942,85,5027
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"SP",852,9,861
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"GP",368,0,368
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"GLP",800,93,893
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"FDP",920,30,950
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"Mitte",554,2,556
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"EVP",161,0,161
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"FGA/AL/PDA",18,0,18
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"EDU",111,0,111
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"Übrige",300,37,337
2023-10-22,"Nationalratswahl 2023","ZH023","Berg am Irchel",23,23,9283,"SD",1,0,1
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"SVP",6442,35,6477
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"SP",953,15,968
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"GP",996,57,1053
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"GLP",1563,51,1614
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"FDP",1488,90,1578
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"Mitte",985,5,990
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"EVP",429,28,457
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"FGA/AL/PDA",40,0,40
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"EDU",663,0,663
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"Übrige",676,0,676
2023-10-22,"Nationalratswahl 2023","ZH024","Buch am Irchel",24,24,14516,"SD",0,0,0
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"SVP",6800,95,6895
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"SP",3794,27,3821
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"GP",2069,3,2072
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"GLP",3262,56,3318
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"FDP",2767,39,2806
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"Mitte",2933,45,2978
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"EVP",794,20,814
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"FGA/AL/PDA",47,0,47
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"EDU",260,0,260
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"Übrige",744,20,764
2023-10-22,"Nationalratswahl 2023","ZH025","Dachsen",25,25,23813,"SD",38,0,38
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"SVP",4416,39,4455
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"SP",949,58,1007
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"GP",391,0,391
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"GLP",718,0,718
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"FDP",1020,29,1049
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"Mitte",565,82,647
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"EVP",300,0,300
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"FGA/AL/PDA",86,0,86
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"EDU",712,0,712
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"Übrige",389,4,393
2023-10-22,"Nationalratswahl 2023","ZH026","Dorf",26,26,9761,"SD",3,0,3
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"SVP",10362,278,10640
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"SP",7538,133,7671
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"GP",2680,104,2784
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"GLP",4210,108,4318
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"FDP",2799,49,2848
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"Mitte",3231,157,3388
